                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.2906,                  1.045,                 1.2735,                0.64142,                0.43333,                0.44785,                0.16043,                 2.4312,                 1.9736,                 2.3513,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2172,                 1.0728,                 1.2836,                0.50757,                0.53333,                 0.4456,                0.17505,                 2.3641,                 1.8944,                 2.2651,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2186,                0.99764,                 1.2666,                0.61308,                0.58127,                0.52221,                0.17725,                 2.3882,                 1.8124,                  2.198,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2211,                 1.0594,                 1.2314,                0.69089,                0.59615,                0.53315,                0.19635,                 2.3012,                 1.7321,                 2.1153,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2268,                 1.0395,                 1.2539,                0.68856,                    0.5,                0.50799,                0.20446,                 2.2699,                 1.7329,                  2.107,               0.000812,               0.000812,               0.000812
                     62,                  1.237,                 1.0247,                  1.245,                 0.6689,                0.46667,                0.49054,                0.19906,                 2.3362,                 1.7881,                 2.1645,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.2313,                 1.0272,                  1.236,                0.60833,                    0.5,                0.48278,                0.18709,                 2.3762,                 1.8785,                 2.1987,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2408,                0.99283,                 1.2517,                0.59189,                0.53333,                0.50104,                0.20075,                 2.3686,                 1.8878,                 2.1854,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2451,                 1.0259,                 1.3012,                0.60657,                0.53333,                0.48915,                0.19316,                 2.3715,                 1.8949,                 2.1965,              0.0007328,              0.0007328,              0.0007328
                     66,                    1.2,                0.98538,                 1.2017,                0.59217,                0.53244,                0.48734,                0.17557,                 2.3561,                 1.9946,                 2.2205,               0.000713,               0.000713,               0.000713
                     67,                 1.2011,                0.92333,                  1.204,                0.58165,                0.53333,                0.48492,                0.18621,                 2.3636,                 2.0117,                 2.2216,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1992,                0.96299,                 1.2557,                0.65472,                0.56667,                0.50091,                0.17497,                 2.3817,                 2.0936,                  2.209,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1301,                 0.9465,                 1.1963,                0.70896,                0.63333,                0.53999,                0.17599,                 2.3807,                 2.1012,                  2.193,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2224,                0.97213,                 1.2521,                0.72115,                0.63333,                0.54187,                0.16813,                 2.3676,                 2.1088,                 2.2308,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2172,                0.97732,                 1.2509,                0.67533,                0.63333,                0.53958,                0.18381,                 2.3146,                 2.0703,                 2.2101,               0.000614,               0.000614,               0.000614
                     72,                 1.1516,                 0.9219,                 1.2347,                0.60056,                0.60144,                0.54284,                0.18981,                  2.244,                 2.0807,                 2.1553,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0591,                0.86736,                  1.185,                0.73641,                    0.5,                0.54381,                 0.1854,                 2.2228,                 2.0737,                 2.1444,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0527,                0.86974,                 1.1773,                0.66528,                0.53333,                0.54863,                0.20876,                 2.2219,                 2.0216,                 2.1173,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0693,                0.87504,                 1.1792,                0.60252,                0.53333,                 0.5367,                0.20793,                 2.2324,                 2.0455,                    2.1,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1229,                0.89689,                 1.1876,                0.52393,                0.47716,                 0.4191,                0.17738,                 2.2684,                 2.1267,                 2.1646,               0.000515,               0.000515,               0.000515
                     77,                 1.1747,                0.97907,                 1.2184,                0.50317,                 0.4728,                0.38082,                0.17138,                 2.2731,                 2.2007,                  2.167,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1012,                0.84653,                 1.1537,                0.54622,                 0.4818,                0.40806,                0.19024,                 2.3064,                  2.213,                 2.1871,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1378,                 0.8906,                 1.1791,                0.57472,                0.46667,                0.42452,                0.19173,                 2.3245,                 2.1135,                  2.207,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0768,                0.82873,                 1.1591,                0.59777,                0.53333,                0.44789,                0.19591,                  2.284,                 1.9725,                 2.1857,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0901,                0.88375,                 1.1766,                0.61171,                0.56667,                0.47327,                0.19306,                 2.2913,                  1.924,                 2.1971,               0.000416,               0.000416,               0.000416
                     82,                 1.0542,                0.82273,                 1.1449,                0.65206,                0.56667,                0.47667,                0.19225,                 2.2974,                 1.9101,                 2.2124,              0.0003962,              0.0003962,              0.0003962
                     83,                0.99238,                0.79097,                 1.1114,                0.67462,                0.56667,                0.50365,                0.20467,                 2.2725,                 1.8134,                 2.1999,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0287,                0.83588,                   1.13,                0.70861,                0.56667,                0.51258,                0.20123,                 2.2865,                 1.8073,                  2.198,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0605,                0.88966,                 1.1768,                0.73391,                0.56667,                0.51976,                0.19889,                 2.2987,                 1.8013,                 2.1974,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0122,                0.77847,                 1.1547,                0.71287,                0.56667,                0.52492,                0.20171,                 2.2875,                 1.7955,                 2.1914,               0.000317,               0.000317,               0.000317
                     87,                 1.0949,                0.84831,                 1.1511,                0.72668,                0.63333,                0.52506,                0.20488,                 2.3072,                 1.7772,                 2.2055,              0.0002972,              0.0002972,              0.0002972
